id,platform,video_id,video_url
86,youtube,gEPMR-Clc1U,https://youtu.be/gEPMR-Clc1U
87,youtube,f-Dt8RM_jYo,https://youtu.be/f-Dt8RM_jYo
88,youtube,j4Oijk-jmy8,https://youtu.be/j4Oijk-jmy8
89,youtube,TNG2cPquqFM,https://youtu.be/TNG2cPquqFM
90,youtube,0VV_oHmniQ4,https://youtu.be/0VV_oHmniQ4
91,youtube,-_jh6uuOs8I,https://youtu.be/-_jh6uuOs8I
92,youtube,zp0QWAMB5gI,https://youtu.be/zp0QWAMB5gI
93,youtube,hmZurWOZaWc,https://youtu.be/hmZurWOZaWc
94,youtube,_cOHeYsMjaQ,https://youtu.be/_cOHeYsMjaQ
95,youtube,tS9WlbUU3Mw,https://youtu.be/tS9WlbUU3Mw
96,youtube,eSTlv2J6VTQ,https://youtu.be/eSTlv2J6VTQ
97,youtube,ssljK7GDgHg,https://youtu.be/ssljK7GDgHg
98,youtube,cE2JAJ3-D88,https://youtu.be/cE2JAJ3-D88
99,youtube,mcyuJi_KpVI,https://youtu.be/mcyuJi_KpVI
100,youtube,aCgBtkFT5xM,https://youtu.be/aCgBtkFT5xM
101,youtube,y4Tq3OqkIl0,https://youtu.be/y4Tq3OqkIl0
102,youtube,Rin3HVVfCZk,https://youtu.be/Rin3HVVfCZk
103,youtube,0IrCXbSbGxI,https://youtu.be/0IrCXbSbGxI
104,youtube,MkhdoK9Yh5A,https://youtu.be/MkhdoK9Yh5A
105,youtube,-mw1Md3n5AU,https://youtu.be/-mw1Md3n5AU
106,youtube,wMZB72fdXIQ,https://youtu.be/wMZB72fdXIQ
107,youtube,5mjq83iiSSI,https://youtu.be/5mjq83iiSSI
108,youtube,W1Vtf2ch42I,https://youtu.be/W1Vtf2ch42I
109,youtube,4hVcfASfxpo,https://youtu.be/4hVcfASfxpo
110,youtube,o3O2DpYkTQk,https://youtu.be/o3O2DpYkTQk
111,youtube,stbqYMtR5Qs,https://youtu.be/stbqYMtR5Qs
112,youtube,VTgHG81eb5s,https://youtu.be/VTgHG81eb5s
113,youtube,P3hg0rfW490,https://youtu.be/P3hg0rfW490
114,youtube,P-pca9cWf9E,https://youtu.be/P-pca9cWf9E
115,youtube,HezStM2iLJw,https://youtu.be/HezStM2iLJw
116,youtube,ye7JzeOU5HQ,https://youtu.be/ye7JzeOU5HQ
117,youtube,Fsr-GgkvbdI,https://youtu.be/Fsr-GgkvbdI
118,youtube,pBO4jBLzFCg,https://youtu.be/pBO4jBLzFCg
119,youtube,PbFn9Gcx3gM,https://youtu.be/PbFn9Gcx3gM
120,youtube,H_0fflpZlJA,https://youtu.be/H_0fflpZlJA
121,youtube,Aow_giVbNas,https://youtu.be/Aow_giVbNas
122,youtube,7O_Cq0HBPZM,https://youtu.be/7O_Cq0HBPZM
123,youtube,MDvR7BMIWp0,https://youtu.be/MDvR7BMIWp0
